N,P,K,temperature,humidity,ph,rainfall,label
20,45,17,28.17458662,83.69659318,6.770955317,37.2464655,mungbean
23,45,23,28.77653519,86.69133979,6.983130466,56.12443206,mungbean
25,48,21,28.438097,83.48991368,6.267684328,52.55469976,mungbean
56,79,15,29.48439992,63.19915325,7.454532137,71.89090748,blackgram
25,62,21,26.73433965,68.13999721,7.040056094,67.15096376,blackgram
42,61,22,26.27274407,62.28814857,7.418650668,70.23207557,blackgram
42,73,25,34.03679184,67.21113844,6.501869314,73.23573601,blackgram
44,58,18,28.03644051,65.06601664,6.814410928,72.49507741,blackgram
39,70,15,20.76774783,63.90164154,6.366355781,47.9271552,lentil
26,56,22,23.05276444,60.424786,7.011121216,52.60285259,lentil
9,77,17,21.65845777,63.58337146,6.280725549,38.07659414,lentil
4,59,19,26.25070298,67.62779652,7.621494566,40.8106299,lentil
34,73,15,20.97195263,63.83179889,7.630424083,53.10207889,lentil
33,77,15,23.89736406,66.32102048,7.802212437,40.74536757,lentil
2,24,38,24.55981624,91.63536236,5.922935513,111.9684622,pomegranate
6,18,37,19.65690085,89.93701023,5.937649578,108.0458926,pomegranate
8,26,36,18.78359608,87.4024767,6.804781106,102.5184759,pomegranate
37,18,39,24.1469628,94.5110662,6.424670614,110.2316633,pomegranate
0,27,38,22.44581266,89.90147027,6.738016221,109.3905998,pomegranate
108,94,47,27.35911627,84.54625006,6.387431383,90.81250457,banana
92,81,52,28.0106804,76.52808057,5.891413895,103.7040783,banana
110,71,54,28.67208915,82.20793613,5.725418961,94.37987496,banana
82,75,55,27.34585147,78.4873835,6.281069505,92.15524332,banana
117,81,53,29.50704598,78.20585613,5.507641778,98.12565829,banana
2,40,27,29.73770045,47.54885174,5.954626604,90.09586854,mango
39,24,31,33.55695561,53.72979826,4.757114897,98.67527561,mango
21,26,27,27.00315545,47.67525434,5.699586972,95.85118326,mango
25,22,25,33.56150184,45.53556603,5.977413803,95.70525913,mango
0,21,32,35.89855625,54.25964196,6.430139436,92.19721736,mango
20,19,35,34.17719782,50.62161586,6.113935087,98.00687989,mango
23,138,200,9.851242629,80.22631717,5.96537863,68.42802444,grapes
40,143,201,24.97256132,82.72828653,6.476757723,66.70016285,grapes
6,142,202,27.23708304,82.94573346,6.224542938,70.42508897,grapes
37,124,195,18.70679077,83.4795292,6.209928251,66.5964488,grapes
35,134,204,9.949929082,82.55138983,5.841138354,66.00817551,grapes
119,25,51,26.47330219,80.92254421,6.283818329,53.65742581,watermelon
119,19,55,25.18780042,83.44621709,6.818261383,46.87420883,watermelon
105,30,50,25.29954705,81.77527562,6.37620108,57.04147057,watermelon
114,8,50,24.74631269,88.30866319,6.581587932,57.95826144,watermelon
93,22,52,26.58740671,81.32563243,6.932739726,41.87540028,watermelon
40,120,197,23.80593812,92.48879468,5.889480679,119.6335548,apple
25,132,198,22.31944084,90.85174383,5.732757516,100.1173443,apple
31,137,196,22.14464104,93.82567435,6.400321212,120.6310784,apple
36,144,196,23.65167552,94.50528753,6.496934492,115.3611268,apple
10,140,197,22.16939473,90.27185592,6.229498836,124.4683112,apple
22,30,12,15.78144173,92.51077745,6.354006744,119.035002,orange
37,6,13,26.03097313,91.50819306,7.511755068,101.2847738,orange
27,13,6,13.36050601,91.35608208,7.335158382,111.2266885,orange
7,16,9,18.87957654,92.04304496,7.813916603,114.6659511,orange
20,7,9,29.47741671,91.57802915,7.129136941,111.1727497,orange
68,70,54,31.29986342,92.76039164,6.986228647,54.77830202,papaya
42,59,55,40.10207731,94.35110201,6.979102243,149.1199989,papaya
43,64,47,38.58954491,91.58076549,6.825664782,102.2708231,papaya
35,67,49,41.31330062,91.1508798,6.617066674,239.7427554,papaya
56,59,55,37.03551903,91.79430166,6.551892638,188.5181422,papaya
39,64,53,23.0124018,91.07355541,6.598860305,208.3357976,papaya
18,30,29,26.7627493,92.86056895,6.420018717,224.5903664,coconut
37,23,28,25.61294367,94.3138837,5.740054567,224.3206759,coconut
13,28,33,28.130115,95.64807631,5.686972967,151.0761899,coconut
2,21,35,25.02887163,91.53720922,6.293662363,179.8248944,coconut
10,18,35,27.79797651,99.64573002,6.381975465,181.6942283,coconut
87,44,43,23.87484465,86.79261344,6.718725189,177.5147313,jute
88,52,39,23.92887902,88.07112278,6.880204617,154.6608736,jute
90,39,37,24.81441246,81.68688879,6.86106911,190.7886386,jute
90,39,43,24.44743944,82.286484,6.7693455,190.9684885,jute
84,38,43,26.57421679,73.81994896,7.26158085,159.3223075,jute
91,21,26,26.33377983,57.36469955,7.261313694,191.6549412,coffee
107,21,26,26.45288458,55.32222678,7.235070264,144.6861336,coffee
83,38,35,25.70822684,52.88667115,7.18915558,136.7325092,coffee
108,24,31,24.12832546,56.18107663,6.431899748,147.2757818,coffee
116,28,34,23.44372334,60.39523266,6.42321105,122.2103248,coffee
